,title,subtitle,link
40,YOU VIN ME RIGHT ROUND,Vinicius shares amazing dance moves on stage with pop star Ludmilla,https://www.thesun.co.uk/sport/18968548/vinicius-dancing-stage-ludmilla-real-madrid/
41,GREALLY NICE,"Jack Grealish is such a genuine, humble guy, says dad of City star's No1 fan",https://www.thesun.co.uk/sport/football/18969859/jack-grealish-man-city-fan/
42,NEY BOTHER,PSG ‘set to sell Neymar’ as new sporting director approves exit for right price,https://www.thesun.co.uk/sport/football/18966760/neymar-psg-transfer-exit-luis-campos-christophe-galtier/
43,FARCELONA,Ex-director accuses Barcelona of 'selling smoke' with transfer claims like Silva,https://www.thesun.co.uk/sport/football/18971136/barcelona-transfers-bernardo-silva-man-city-toni-freixa/
44,WALE OF A TIME,Gareth Bale backs Wales' £4m investment in grassroots after reaching Qatar,https://www.thesun.co.uk/sport/18968982/gareth-bale-wales-grassroots-pledge-world-cup/
45,UNITED AIRLINES,"Man Utd stars on their holidays, from Cristiano Ronaldo in Majorca to Jadon Sancho enjoying Jamaica and LA",https://www.thesun.co.uk/sport/18954344/man-utd-stars-holidays-ronaldo-sancho/
46,RON TARGET,"Watch Brazil legend Ronaldo, 45, leave defender for dead TWICE & score screamer",https://www.thesun.co.uk/sport/football/18968700/ronaldo-screamer-brazil-legend-goal/
47,BEST OF LUK,Lukaku 'reduced to tears' after discovering Chelsea had reached loan agreement,https://www.thesun.co.uk/sport/18967936/romelu-lukaku-tears-chelsea-loan-transfer-inter-milan/
48,ED HUNTER,Arsenal's transfer plans for the next SIX YEARS confirmed by top club chief Edu,https://www.thesun.co.uk/sport/football/18965192/arsenal-transfer-plans-revealed-mikel-arteta-edu/
49,IRANNING INTO TROUBLE,England's WC rivals Iran set to axe boss and ex-Man Utd coach linked,https://www.thesun.co.uk/sport/football/18969841/england-iran-manager-world-cup-man-utd/
50,FAB-TASTIC,Arsenal CONFIRM signing of Vieira from Porto as Arteta hails 'special talent',https://www.thesun.co.uk/sport/football/18959926/arsenal-confirm-fabio-vieira-signing-porto/
51,TOP PICK,Inside Jordan Pickford's wife Megan's glamorous Dubai hen do at £8k-a-night resort two years after wedding,https://www.thesun.co.uk/sport/18953035/jordan-pickford-megan-davison-dubai-hen-party/
